slno, Wall_1,Humid1, Wall_2,Humid2, Wall_3,Humid3, Wall_4,Humid4, Outside
610,24,70,25,65,26,86,25,75,28
611,24,71,25,65,26,86,25,75,28
612,24,70,25,65,26,86,25,76,28
613,24,70,25,65,26,86,25,76,28
614,24,69,25,66,26,87,25,76,28
615,24,70,25,66,26,87,25,77,28
616,24,70,25,67,26,87,25,77,28
617,24,70,25,67,26,87,25,77,28
618,24,71,25,68,26,87,25,78,28
619,24,72,25,68,26,88,25,78,28
620,24,72,25,68,26,88,25,78,28
621,25,72,26,70,26,88,25,78,28
622,25,72,26,70,26,89,25,79,28
623,25,73,26,70,26,88,25,79,28
624,25,73,26,71,26,89,25,79,28
625,25,73,26,71,26,91,25,80,28
626,25,73,26,72,26,89,25,80,28
627,25,73,26,72,26,89,25,80,28
628,25,73,26,72,26,91,25,80,28
629,25,73,26,73,26,89,25,80,28
630,25,74,26,73,26,89,25,81,28
631,25,74,26,73,26,91,25,81,28
632,25,75,26,74,26,89,25,81,28
633,25,75,26,74,26,90,25,82,28
634,25,74,26,75,26,90,25,82,28
635,25,74,26,75,26,90,25,82,28
636,25,75,26,75,26,89,25,82,28
637,25,74,26,75,26,90,25,82,28
638,25,75,26,76,26,90,25,82,28
639,25,75,26,76,26,90,25,83,28
640,25,75,26,76,26,90,25,83,28
641,25,76,26,76,26,91,25,83,28
642,25,76,26,77,26,91,25,83,28
643,25,76,26,77,26,91,25,83,28
644,25,76,26,77,26,91,25,83,28
645,25,76,26,77,26,91,25,83,28
646,25,76,26,77,27,92,25,84,28
647,25,76,26,78,27,91,25,83,28
648,25,75,26,78,27,91,25,83,28
649,25,74,26,79,27,91,25,82,28
650,25,75,26,79,27,91,25,82,28
651,25,75,26,78,27,91,25,82,28
652,25,76,26,78,27,90,25,82,28
653,25,76,26,77,27,89,25,81,28
654,25,76,26,77,27,89,25,80,28
655,25,77,26,76,27,90,25,80,28
656,24,75,26,75,27,89,25,80,28
657,24,74,26,74,27,88,25,79,28
658,24,76,26,73,27,87,25,78,28
659,24,75,26,72,27,89,25,78,28
660,24,75,26,72,27,87,25,77,28
661,24,73,26,71,27,86,25,76,28
662,24,73,26,71,27,88,25,75,28
663,24,72,26,69,27,85,25,75,28
664,24,72,26,69,26,85,25,75,28
665,24,72,26,69,26,87,25,74,28
666,24,72,26,68,26,83,25,73,28
667,24,72,26,68,26,84,25,73,28
668,24,72,26,66,26,83,25,72,28
669,24,72,26,66,26,83,25,72,29
670,24,73,26,66,26,85,25,73,29
671,24,73,26,66,26,86,25,75,29
672,24,72,26,66,26,85,25,75,29
673,24,72,26,67,26,87,25,75,29
674,24,71,26,67,26,87,25,76,29
675,24,72,26,68,26,86,25,77,29
676,24,73,26,68,26,87,25,77,29
677,24,74,26,69,26,89,25,78,29
678,24,73,26,69,26,88,25,78,29
679,24,74,26,69,26,88,25,79,29
680,24,73,26,69,26,88,25,79,29
681,24,73,26,69,26,88,25,79,29
